id_pacient,nume,prenume,cnp,data_nasterii,adresa,telefon
1,Popescu,Ana,2901505228010,1990-05-15,"Str. Florilor nr.10, Iasi",0721232387
2,Georgescu,Mihai,2880318229754,1988-03-18,"Str. Mihai Viteazul nr.30, Iasi",0787455632
3,Ionescu,Ion,1920608229800,1992-06-08,"Str. Musatini nr.25, Iasi",0721232388
4,Unguranu,Maria,6090712228173,2009-07-12,"Str. Tabacului nr.13, Iasi",0787455639
5,Popa,Constantin,1234567890123,1990-05-15,"Str. Primaverii nr. 10, Bucuresti",0721123456
6,Ionescu,Vasile,2345678901234,1985-10-20,"Str. Mihai Eminescu nr. 5, Cluj-Napoca",0732456789
7,Radu,Maria,3456789012345,1978-03-07,"Bd. Independentei nr. 30, Timisoara",0765123456
8,Dumitrescu,Andrei,4567890123456,1995-12-28,"Str. Libertatii nr. 15, Iasi",0740567890
9,Georgescu,Elena,5678901234567,1980-08-03,"Bd. Unirii nr. 25, Constanta",0711345678
10,Ionescu,Mihai,1900101201234,1990-01-01,"Str. Mihai Viteazu nr. 5, Iasi",0721123256
11,Popa,Maria,2920402356789,1992-04-02,"Str. Crinilor nr. 7, Iasi",0721987654
